RIVER_NAME,RIVER_TYPE,RIVER_CODE,RIVER_FROM
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
,"5",,
,"5",,
,"5",,
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
指南溪,"5",,
指南溪,"5",,
指南溪,"5",,
指南溪,"5",,
指南溪,"5",,
指南溪,"5",,
指南溪,"5",,
指南溪,"5",,
指南溪,"5",,
指南溪,"5",,
指南溪,"5",,
小坑仔溪,"5",,
小坑仔溪,"5",,
小坑溪,"3","102000310",
小坑溪,"3","102000310",
小坑溪,"3","102000310",
小坑溪,"3","102000310",
陳厝坑溪,"5",,
陳厝坑溪,"5",,
,"5",,
,"5",,
老梅溪,"3","105000310",
老梅溪,"3","105000310",
老梅溪,"3","105000310",
老梅溪,"3","105000310",
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
埔頭坑溪,"5",,
埔頭坑溪,"5",,
埔頭坑溪,"5",,
埔頭坑溪,"5",,
埔頭坑溪,"5",,
埔頭坑溪,"5",,
埔頭坑溪,"5",,
埔頭坑溪,"5",,
埔頭坑溪,"5",,
埔頭坑溪,"5",,
楓林溪,"3","106000310",
西勢溪,"5",,
西勢溪,"5",,
西勢溪,"5",,
西勢溪,"5",,
西勢溪,"5",,
大屯溪,"3","110000310",
大屯溪,"3","110000310",
大屯溪,"3","110000310",
大屯溪,"3","110000310",
大屯溪,"3","110000310",
大屯溪,"3","110000310",
大屯溪,"3","110000310",
大屯溪,"3","110000310",
大屯溪,"3","110000310",
大屯溪,"3","110000310",
清水溪,"1","151020120",濁水溪
清水溪,"1","151020120",濁水溪
清水溪,"1","151020120",濁水溪
清水溪,"1","151020120",濁水溪
清水溪,"1","151020120",濁水溪
清水溪,"1","151020120",濁水溪
清水溪,"1","151020120",濁水溪
磺溪,"2","101000210",
磺溪,"2","101000210",
磺溪,"2","101000210",
磺溪,"2","101000210",
磺溪,"2","101000210",
磺溪,"2","101000210",
磺溪,"2","101000210",
磺溪,"2","101000210",
磺溪,"2","101000210",
清水溪,"1","151020120",濁水溪
清水溪,"1","151020120",濁水溪
八連圳,"5",,
金包里溪,"5",,
金包里溪,"5",,
金包里溪,"5",,
金包里溪,"5",,
金包里溪,"5",,
金包里溪,"5",,
金包里溪,"5",,
金包里溪,"5",,
金包里溪,"5",,
金包里溪,"5",,
金包里溪,"5",,
金包里溪,"5",,
員潭溪,"3","265000310",
員潭溪,"3","265000310",
員潭溪,"3","265000310",
員潭溪,"3","265000310",
員潭溪,"3","265000310",
員潭溪,"3","265000310",
磺溪,"2","101000210",
興化店溪,"5",,
,"5",,
萬里磺溪,"5",,
萬里磺溪,"5",,
萬里磺溪,"5",,
萬里磺溪,"5",,
萬里磺溪,"5",,
萬里磺溪,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
公司田溪,"5",,
公司田溪,"5",,
公司田溪,"5",,
公司田溪,"5",,
公司田溪,"5",,
公司田溪,"5",,
公司田溪,"5",,
公司田溪,"5",,
公司田溪,"5",,
公司田溪,"5",,
公司田溪,"5",,
公司田溪,"5",,
公司田溪,"5",,
公司田溪,"5",,
公司田溪,"5",,
鹿角坑溪,"5",,
鹿角坑溪,"5",,
鹿角坑溪,"5",,
鹿角坑溪,"5",,
鹿角坑溪,"5",,
磺溪,"2","101000210",
磺溪,"2","101000210",
磺溪,"2","101000210",
磺溪,"2","101000210",
磺溪,"2","101000210",
磺溪,"2","101000210",
磺溪,"2","101000210",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
淡水河,"1","114000110",
,"5",,
,"5",,
,"5",,
頭前溪,"1","130000110",
頭前溪,"1","130000110",
頭前溪,"1","130000110",
頭前溪,"1","130000110",
,"5",,
樹梅坑溪,"5",,
樹梅坑溪,"5",,
樹梅坑溪,"5",,
樹梅坑溪,"5",,
樹梅坑溪,"5",,
樹梅坑溪,"5",,
樹梅坑溪,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
後坑溪,"5",,
後坑溪,"5",,
後坑溪,"5",,
後坑溪,"5",,
紅水仙溪,"5",,
紅水仙溪,"5",,
紅水仙溪,"5",,
紅水仙溪,"5",,
瑞樹坑溪,"5",,
瑞樹坑溪,"5",,
瑞樹坑溪,"5",,
瑞樹坑溪,"5",,
瑞樹坑溪,"5",,
瑞樹坑溪,"5",,
瑞樹坑溪,"5",,
瑞樹坑溪,"5",,
瑞樹坑溪,"5",,
瑞樹坑溪,"5",,
,"5",,
,"5",,
,"5",,
北港溪,"1","143010120",烏溪
北港溪,"1","143010120",烏溪
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
林口溪,"3","117000310",
林口溪,"3","117000310",
林口溪,"3","117000310",
林口溪,"3","117000310",
林口溪,"3","117000310",
林口溪,"3","117000310",
林口溪,"3","117000310",
林口溪,"3","117000310",
林口溪,"3","117000310",
林口溪,"3","117000310",
林口溪,"3","117000310",
林口溪,"3","117000310",
林口溪,"3","117000310",
,"5",,
嘉寶溪,"5",,
嘉寶溪,"5",,
嘉寶溪,"5",,
,"5",,
,"5",,
北港溪,"1","143010120",烏溪
北港溪,"1","143010120",烏溪
北港溪,"1","143010120",烏溪
北港溪,"1","143010120",烏溪
北港溪,"1","143010120",烏溪
北港溪,"1","143010120",烏溪
北港溪,"1","143010120",烏溪
北港溪,"1","143010120",烏溪
北港溪,"1","143010120",烏溪
北港溪,"1","143010120",烏溪
北港溪,"1","143010120",烏溪
北港溪,"1","143010120",烏溪
寶斗溪,"3","116000310",
寶斗溪,"3","116000310",
寶斗溪,"3","116000310",
寶斗溪,"3","116000310",
寶斗溪,"3","116000310",
寶斗溪,"3","116000310",
寶斗溪,"3","116000310",
田寮河,"5",,
田寮河,"5",,
田寮河,"5",,
田寮河,"5",,
田寮河,"5",,
田寮河,"5",,
田寮河,"5",,
田寮河,"5",,
北勢坑溪,"5",,
北勢坑溪,"5",,
五股坑溪,"5",,
五股坑溪,"5",,
五股坑溪,"5",,
五股坑溪,"5",,
五股坑溪,"5",,
五股坑溪,"5",,
五股坑溪,"5",,
五股坑溪,"5",,
五股坑溪,"5",,
五股坑溪,"5",,
五股坑溪,"5",,
五股坑溪,"5",,
五股坑溪,"5",,
五股坑溪,"5",,
出水坑,"5",,
,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
觀音坑溪,"5",,
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
