ID,Debrisno,Area_ha,Centroid_X,Centroid_Y,Debrisno_o
219,新北DF064,81.51,287484,2752514,北縣DF064
220,新北DF070,32.07,290364,2751184,北縣DF070
221,新北DF071,14.45,290631,2751250,北縣DF071
222,新北DF072,244.49,292426,2752464,北縣DF072
223,新北DF083,132.05,290616,2754774,北縣DF083
224,新北DF053,69.69,293642,2760322,北縣DF053
225,新北DF054,24.24,297561,2762992,北縣DF054
226,新北DF055,14.2,298237,2763118,北縣DF055
227,新北DF220,26.86,292613,2760476,新北F100-5
228,新北DF052,5.85,300118,2764357,北縣DF052
229,新北DF023,10.18,290862,2777333,北縣DF023
230,新北DF024,24.88,292001,2777715,北縣DF024
231,新北DF029,19.72,293100,2775225,北縣DF029
232,新北DF025,3.12,291761,2774080,北縣DF025
233,新北DF026,7.13,292167,2773662,北縣DF026
234,新北DF027,4.73,292723,2773911,北縣DF027
235,新北DF028,10.76,292976,2774004,北縣DF028
236,新北DF021,145.22,293318,2779490,北縣DF021
237,新北DF022,26.76,292133,2779484,北縣DF022
238,新北DF188,18.55,328032,2771238,北縣DF188
239,新北DF189,45.93,327615,2770998,北縣DF189
240,新北DF186,38.19,329548,2770336,北縣DF186
241,新北DF183,83.35,322499,2769228,北縣DF183
242,新北DF187,104.55,327604,2772468,北縣DF187
243,新北DF185,11.36,325440,2768497,北縣DF185
244,新北DF184,107.78,321564,2768976,北縣DF184
245,新北DF001,135.62,307991,2791278,北縣DF001
246,新北DF002,73.16,308042,2791858,北縣DF002
247,新北DF120,7.41,320045,2766342,北縣DF120
248,新北DF119,50.49,312338,2761756,北縣DF119
249,新北DF116,48.91,315878,2764121,北縣DF116
250,新北DF117,36.34,315418,2763646,北縣DF117
251,新北DF118,70.75,316004,2762065,北縣DF118
252,新北DF112,19.74,316593,2765302,北縣DF112
253,新北DF113,12.53,318422,2763980,北縣DF113
254,新北DF114,57.78,318598,2764772,北縣DF114
255,新北DF115,34.62,317308,2765362,北縣DF115
256,新北DF192,66.48,315487,2770841,北縣DF192
257,新北DF197,319.25,319645,2771720,北縣DF197
258,新北DF198,357.24,321148,2770662,北縣DF198
259,新北DF191,10.47,310298,2778682,北縣DF191
260,新北DF195,5.09,319637,2773124,北縣DF195
261,新北DF196,1.45,319806,2773702,北縣DF196
262,新北DF193,19.93,317616,2771904,北縣DF193
263,新北DF194,127.72,318808,2772197,北縣DF194
264,新北DF190,10.15,314099,2779242,北縣DF190
265,新北DF124,18.44,321715,2757605,北縣DF124
266,新北DF125,36.51,322136,2756835,北縣DF125
267,新北DF232,9.92,321836,2757823,新北F104-13
268,新北DF127,55.09,325761,2757641,北縣DF127
269,新北DF128,255.1,324152,2757956,北縣DF128
270,新北DF129,28.47,323701,2758942,北縣DF129
271,新北DF126,31.41,325704,2753840,北縣DF126
272,新北DF121,7.49,321064,2759456,北縣DF121
273,新北DF122,23.99,318392,2756865,北縣DF122
274,新北DF123,5.92,319209,2756662,北縣DF123
275,新北DF214,49.4,311509,2791797,北縣DF214
276,新北DF235,29.34,310886,2791655,新北F107-1
277,新北DF216,45.07,313099,2793870,北縣DF216
278,新北DF217,40.57,313210,2794387,北縣DF217
279,新北DF218,62.95,312578,2794866,北縣DF218
280,新北DF215,4.28,312786,2792783,北縣DF215
281,新北DF211,35.15,308974,2789504,北縣DF211
282,新北DF212,8.29,309543,2789513,北縣DF212
283,新北DF213,149.62,309224,2790468,北縣DF213
284,新北DF030,13.51,288556,2773641,北縣DF030
285,新北DF031,20.67,290494,2772652,北縣DF031
286,新北DF032,17,290990,2772613,北縣DF032
287,新北DF033,1.55,291056,2771844,北縣DF033
288,新北DF034,5.34,291283,2771909,北縣DF034
289,新北DF035,62.57,291295,2771203,北縣DF035
290,新北DF036,12.37,292068,2772168,北縣DF036
291,新北DF037,16.74,291218,2772720,北縣DF037
292,新北DF041,18.69,292387,2771029,北縣DF041
